model_name,selector_scope,group_key,objective,step,loss,batch_positive_rate,batch_energy_target_mean,train_example_count
shared__all_groups__topk_bce,shared,all_groups,topk_bce,1,1.2258872985839844,0.097412109375,0.21788837015628815,589824
shared__all_groups__topk_bce,shared,all_groups,topk_bce,50,1.0379407405853271,0.102783203125,0.2184150516986847,589824
shared__all_groups__topk_bce,shared,all_groups,topk_bce,100,0.9950059056282043,0.093994140625,0.21486753225326538,589824
shared__all_groups__topk_bce,shared,all_groups,topk_bce,150,0.9676787853240967,0.0927734375,0.21059732139110565,589824
shared__all_groups__topk_bce,shared,all_groups,topk_bce,200,1.050264596939087,0.102294921875,0.2190311849117279,589824
shared__all_groups__topk_bce,shared,all_groups,topk_bce,250,0.9767479300498962,0.09619140625,0.2120467722415924,589824
shared__all_groups__topk_bce,shared,all_groups,topk_bce,300,1.060468316078186,0.107666015625,0.21898721158504486,589824
shared__all_groups__energy_regression,shared,all_groups,energy_regression,1,0.11742765456438065,0.10498046875,0.21423378586769104,589824
shared__all_groups__energy_regression,shared,all_groups,energy_regression,50,0.023171935230493546,0.095703125,0.21075931191444397,589824
shared__all_groups__energy_regression,shared,all_groups,energy_regression,100,0.02047896757721901,0.098876953125,0.2177061140537262,589824
shared__all_groups__energy_regression,shared,all_groups,energy_regression,150,0.019668899476528168,0.099609375,0.21592600643634796,589824
shared__all_groups__energy_regression,shared,all_groups,energy_regression,200,0.01991691067814827,0.095947265625,0.21293574571609497,589824
shared__all_groups__energy_regression,shared,all_groups,energy_regression,250,0.01784040778875351,0.094482421875,0.21660704910755157,589824
shared__all_groups__energy_regression,shared,all_groups,energy_regression,300,0.01871340349316597,0.103515625,0.2156350463628769,589824
