task_id,sequence,codec,reference_gap,target_index,base_method,setting_label,selector_policy,selected_candidate,keep_fraction,side_bits,zlib_level,keep_gaussians,compressed_payload_bytes,compressed_mib_per_intermediate_frame,q12_main_anchor_mib_per_frame,uniform_intermediate_frame_ratio,direct_total_mib_per_frame,amortized_total_mib_per_frame,base_psnr,setting_psnr,delta_psnr_vs_base,q6_top10_psnr,delta_psnr_vs_q6_top10,q6_top10_payload_bytes,decoded_max_abs_diff_vs_raw_deterministic
stage79_00021399,bike-packing,q12,16,9,linear,q6_top10,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,9,3686,27966,0.026670455932617188,0.055468969746314975,0.9375,0.08213942567893216,0.08047252218314359,18.747158126257794,21.070094514630803,2.3229363883730088,21.070094514630803,0.0,27966,0.0
stage79_00021399,bike-packing,q12,16,9,linear,q5_top10,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,5,9,3686,23726,0.022626876831054688,0.055468969746314975,0.9375,0.07809584657736966,0.07668166677542874,18.747158126257794,21.064803914118173,2.3176457878603784,21.070094514630803,-0.005290600512630306,27966,0.0
stage79_00021399,bike-packing,q12,16,9,linear,q4_top10,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,4,9,3686,14930,0.014238357543945312,0.055468969746314975,0.9375,0.06970732729026029,0.0688174299437637,18.747158126257794,21.042839142046,2.2956810157882046,21.070094514630803,-0.02725537258480415,27966,0.0
stage79_00021399,bike-packing,q12,16,9,linear,q4_top20,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.2,4,9,7373,28002,0.026704788208007812,0.055468969746314975,0.9375,0.08217375795432279,0.0805047086913223,18.747158126257794,22.680098360209765,3.932940233951971,21.070094514630803,1.6100038455789623,27966,0.0
stage79_00021399,bike-packing,q12,16,9,stage65_adapter,q6_top10,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,9,3686,32836,0.031314849853515625,0.055468969746314975,0.9375,0.0867838195998306,0.08482664148398587,18.71832432848013,20.543213846532126,1.8248895180519966,20.543213846532126,0.0,32836,0.0
stage79_00021399,bike-packing,q12,16,9,stage65_adapter,q5_top10,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,5,9,3686,27895,0.026602745056152344,0.055468969746314975,0.9375,0.08207171480246732,0.0804090432364578,18.71832432848013,20.53423928804516,1.8159149595650312,20.543213846532126,-0.008974558486965378,32836,0.0
stage79_00021399,bike-packing,q12,16,9,stage65_adapter,q4_top10,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,4,9,3686,17270,0.016469955444335938,0.055468969746314975,0.9375,0.07193892519065091,0.07090955297537992,18.71832432848013,20.520760144087422,1.8024358156072928,20.543213846532126,-0.022453702444703794,32836,0.0
stage79_00021399,bike-packing,q12,16,9,stage65_adapter,q4_top20,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.2,4,9,7373,32422,0.030920028686523438,0.055468969746314975,0.9375,0.08638899843283841,0.0844564966399307,18.71832432848013,21.798040144325302,3.079715815845173,20.543213846532126,1.2548262977931763,32836,0.0
stage79_00028818,motocross-jump,q12,4,31,linear,q6_top10,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,9,3686,21916,0.020900726318359375,0.18193822076791313,0.75,0.2028389470862725,0.19761376550668266,18.25988997574939,19.321289888366742,1.0613999126173503,19.321289888366742,0.0,21916,0.0
stage79_00028818,motocross-jump,q12,4,31,linear,q5_top10,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,5,9,3686,17153,0.016358375549316406,0.18193822076791313,0.75,0.19829659631722954,0.19420700242990044,18.25988997574939,19.335445686183053,1.0755557104336617,19.321289888366742,0.014155797816311377,21916,0.0
stage79_00028818,motocross-jump,q12,4,31,linear,q4_top10,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,4,9,3686,9127,0.008704185485839844,0.18193822076791313,0.75,0.19064240625375298,0.18846635988229302,18.25988997574939,19.332249219015093,1.0723592432657014,19.321289888366742,0.010959330648351084,21916,0.0
stage79_00028818,motocross-jump,q12,4,31,linear,q4_top20,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.2,4,9,7373,18998,0.018117904663085938,0.18193822076791313,0.75,0.20005612543099907,0.1955266492652276,18.25988997574939,21.314556546410707,3.0546665706613148,19.321289888366742,1.9932666580439644,21916,0.0
stage79_00028818,motocross-jump,q12,4,31,stage65_adapter,q6_top10,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,9,3686,27561,0.026284217834472656,0.18193822076791313,0.75,0.2082224386023858,0.20165138414376763,18.284350936750318,19.496783672856704,1.2124327361063862,19.496783672856704,0.0,27561,0.0
stage79_00028818,motocross-jump,q12,4,31,stage65_adapter,q5_top10,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,5,9,3686,21847,0.020834922790527344,0.18193822076791313,0.75,0.20277314355844048,0.19756441286080864,18.284350936750318,19.46001761432544,1.1756666775751228,19.496783672856704,-0.03676605853126347,27561,0.0
stage79_00028818,motocross-jump,q12,4,31,stage65_adapter,q4_top10,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,4,9,3686,11219,0.010699272155761719,0.18193822076791313,0.75,0.19263749292367485,0.18996267488473442,18.284350936750318,19.487306655740937,1.2029557189906193,19.496783672856704,-0.009477017115766984,27561,0.0
stage79_00028818,motocross-jump,q12,4,31,stage65_adapter,q4_top20,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.2,4,9,7373,23477,0.02238941192626953,0.18193822076791313,0.75,0.20432763269418266,0.19873027971261528,18.284350936750318,21.53476688279359,3.2504159460432724,19.496783672856704,2.037983209936886,27561,0.0
stage79_00027028,india,q12,8,13,linear,q6_top10,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,9,3686,27550,0.026273727416992188,0.09762538675351436,0.875,0.12389911417050654,0.12061489824338252,19.06758882783345,21.235727962526283,2.168139134692833,21.235727962526283,0.0,27550,0.0
stage79_00027028,india,q12,8,13,linear,q5_top10,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,5,9,3686,23236,0.022159576416015625,0.09762538675351436,0.875,0.11978496316952998,0.11701501611752803,19.06758882783345,21.23882804948598,2.171239221652531,21.235727962526283,0.0031000869596979896,27550,0.0
stage79_00027028,india,q12,8,13,linear,q4_top10,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,4,9,3686,14345,0.013680458068847656,0.09762538675351436,0.875,0.11130584482236201,0.10959578756375606,19.06758882783345,21.220479735935164,2.152890908101714,21.235727962526283,-0.015248226591118907,27550,0.0
stage79_00027028,india,q12,8,13,linear,q4_top20,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.2,4,9,7373,26505,0.025277137756347656,0.09762538675351436,0.875,0.12290252450986201,0.11974288229031856,19.06758882783345,22.465496899040236,3.3979080712067855,21.235727962526283,1.2297689365139526,27550,0.0
stage79_00027028,india,q12,8,13,stage65_adapter,q6_top10,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,9,3686,32444,0.030941009521484375,0.09762538675351436,0.875,0.12856639627499872,0.12469877008481318,19.790705687000365,21.855767375794528,2.065061688794163,21.855767375794528,0.0,32444,0.0
stage79_00027028,india,q12,8,13,stage65_adapter,q5_top10,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,5,9,3686,27526,0.026250839233398438,0.09762538675351436,0.875,0.1238762259869128,0.12059487108273799,19.790705687000365,21.857285954179723,2.066580267179358,21.855767375794528,0.0015185783851947576,32444,0.0
