sample,reference_gap,delta_all_psnr,rate_mib_per_frame,selector_cost,selector_cost_per_keyframe,max_segment_ratio,mean_abs_len_error_ratio,segment_std_ratio,jaccard_to_uniform,position_mae_to_uniform,exact_uniform,uniform_indices,predicted_indices
DAVIS/val/bmx-trees,4,0.06357661189149155,0.119970703125,1.861794205771238,0.08865686694148753,1.75,0.3125,0.37479160876412376,0.16666666666666666,2.7142857142857144,false,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 79,0 4 9 15 18 23 26 31 33 37 38 42 45 48 50 55 60 62 67 72 79
DAVIS/val/bmx-trees,8,-0.03615984112334303,0.062841796875,2.233623254930399,0.2030566595391272,1.375,0.1625,0.19724667297574375,0.2222222222222222,1.0909090909090908,false,0 8 16 24 32 40 48 56 64 72 79,0 9 16 25 32 43 50 55 62 70 79
DAVIS/val/bmx-trees,16,0.0,0.03427734375,2.524983885360996,0.42083064756016597,1.0,0.0125,0.025,1.0,0.0,true,0 16 32 48 64 79,0 16 32 48 64 79
DAVIS/val/car-shadow,4,-0.000555582328463089,0.12568359375,0.8578887720331336,0.07798988836664851,1.0,0.025,0.075,0.4666666666666667,0.36363636363636365,false,0 4 8 12 16 20 24 28 32 36 39,0 4 8 12 16 20 23 27 31 35 39
DAVIS/val/car-shadow,8,-0.006733966014870418,0.0685546875,1.0572794708184425,0.1762132451364071,1.125,0.075,0.09354143466934853,0.7142857142857143,0.16666666666666666,false,0 8 16 24 32 39,0 8 16 23 32 39
DAVIS/val/car-shadow,16,0.04549131375734561,0.045703125,1.1941068998580024,0.2985267249645006,0.875,0.1875,0.05103103630798288,0.3333333333333333,2.5,false,0 16 32 39,0 12 26 39
DAVIS/val/goat,4,0.0055252224122490645,0.121875,2.279080831412867,0.09496170130886945,1.5,0.2717391304347826,0.3239057483858987,0.14285714285714285,3.4166666666666665,false,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80 84 88 89,0 5 11 16 21 25 30 32 37 41 45 50 54 59 61 64 66 71 73 78 82 84 87 89
DAVIS/val/goat,8,-0.10978492809701024,0.066015625,2.725875314482052,0.20968271649861936,1.625,0.21875,0.2769736625064236,0.3,2.5384615384615383,false,0 8 16 24 32 40 48 56 64 72 80 88 89,0 7 16 24 32 41 49 54 59 64 70 83 89
DAVIS/val/goat,16,0.02716329180723065,0.035546875,3.0731221188708604,0.43901744555298006,1.0,0.07291666666666667,0.06669921080659218,0.2727272727272727,2.2857142857142856,false,0 16 32 48 64 80 89,0 16 30 45 60 73 89
DAVIS/val/soapbox,4,0.03415602364444936,0.12002840909090909,2.1943960555420556,0.08439984829007906,1.75,0.24,0.3234192325759246,0.13043478260869565,4.884615384615385,false,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80 84 88 92 96 98,0 5 12 19 25 30 34 38 42 46 49 53 56 59 62 64 67 69 73 76 79 82 86 90 95 98
DAVIS/val/soapbox,8,0.08340300738787576,0.06463068181818182,2.6318749780736863,0.18799106986240616,1.25,0.19230769230769232,0.20577821691377593,0.12,3.0714285714285716,false,0 8 16 24 32 40 48 56 64 72 80 88 96 98,0 9 19 27 34 41 47 53 59 64 73 83 92 98
DAVIS/val/soapbox,16,0.26277712715562274,0.036931818181818184,2.9326975793100507,0.36658719741375634,1.0,0.125,0.0668153104781061,0.14285714285714285,5.125,false,0 16 32 48 64 80 96 98,0 14 27 43 56 70 85 98
